nombre_estacion,id_comuna
264 - PLAZA MARCOS SASTRE,8
277 - COGHLAN,8
249 - BALBÍN,8
262 - HOLMBERG,8
ARMENIA Y GORRITI,9
PACÍFICO,9
MINISTRO CARRANZA,9
GODOY CRUZ Y LIBERTADOR,9
PARQUE LAS HERAS,9
PLAZA PALERMO VIEJO,9
CABELLO,9
HOSPITAL RIVADAVIA,9
ARMENIA,9
ARÁOZ,9
COSTA RICA,9
JULIÁN ÁLVAREZ,9
PLANETARIO,9
PLAZA ITALIA,9
GUATEMALA,9
RAVIGNANI,9
PLAZA ALEMANIA,9
UGARTECHE,9
MALBA,9
RAVIGNANI Y GUATEMALA,9
DISTRITO AUDIOVISUAL,9
NICARAGUA,9
PLAZA GÜEMES,9
ORO,9
PACIFICO,9
ECOPARQUE,9
PLAZA GUEMES,9
F.J.SANTAMARIA DE ORO,9
ARAOZ,9
FITZ ROY & GORRITI,9
GENERAL URQUIZA,9
CLUB EXCURSIONISTAS,9
PLAZA BOLIVIA,9
PLAZA REPÚBLICA DE ECUADOR,9
SOLAR DE LA ABADÍA,9
UNIVERSIDAD DE BELGRANO,9
EDUARDO OLIVERA,9
CARRANZA Y GORRITI,9
DE LOS OMBUES,9
MATIENZO Y ARCE,9
PARQUE LAS HERAS II,9
PLAZA MAFALDA,9
GUEMES,9
391 - PLAZA REPÚBLICA DE ECUADOR,9
236 - GUEMES,9
014 - PACIFICO,9
089 - CABELLO,9
070 - ARAOZ,9
058 - MINISTRO CARRANZA,9
123 - ARMENIA,9
113 - GUATEMALA,9
025 - PLAZA GUEMES,9
251 - SOLAR DE LA ABADÍA,9
182 - RAVIGNANI Y GUATEMALA,9
005 - PLAZA ITALIA,9
125 - F.J.SANTAMARIA DE ORO,9
103 - MALBA,9
160 - GODOY CRUZ Y LIBERTADOR,9
122 - COSTA RICA,9
230 - PARQUE LAS HERAS II,9
159 - FITZ ROY & GORRITI,9
124 - UGARTECHE,9
246 - EDUARDO OLIVERA,9
065 - JULIÁN ÁLVAREZ,9
142 - ARMENIA Y GORRITI,9
056 - PLAZA PALERMO VIEJO,9
044 - ECOPARQUE,9
364 - CARRANZA Y GORRITI,9
133 - NICARAGUA,9
156 - PLAZA ALEMANIA,9
145 - RAVIGNANI,9
390 - DE LOS OMBUES,9
177 -PLANETARIO,9
292 - PLAZA BOLIVIA,9
335 - GENERAL URQUIZA,9
020 - DISTRITO AUDIOVISUAL,9
050 - HOSPITAL RIVADAVIA,9
381 - MATIENZO Y ARCE,9
